# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.921800000000000E+04  7.628066936002751E+03  2.411932519993527E-04  4.145453958965635E-03  3.583509208061652E+02  3.120103133582803E+02  2.778360304354650E+02
 5.921900000000000E+04  7.628107951646001E+03  5.642203583161999E-04  3.998050790260797E-03  3.546590030499351E+02  3.298320578277343E+02  2.855829626127655E+02
 5.922000000000000E+04  7.628125902108324E+03  8.765529774118117E-04  3.910796929146772E-03  3.507174515379008E+02  3.477326716562054E+02  2.935007492799417E+02
 5.922100000000000E+04  7.628113009769806E+03  1.169386257291377E-03  3.885240295079663E-03  3.471061914574451E+02  5.293058726013403E+00  3.014284846872064E+02
 5.922200000000000E+04  7.628077629395541E+03  1.435323569666261E-03  3.899740736019960E-03  3.443308225969377E+02  2.194703027911619E+01  3.094266865350581E+02
 5.922300000000000E+04  7.628039936492799E+03  1.669618817130625E-03  3.917735626974192E-03  3.426131801997408E+02  3.742005259991252E+01  3.175480333174590E+02
 5.922400000000000E+04  7.628021554844246E+03  1.869863912389615E-03  3.900795461794714E-03  3.418562372620437E+02  5.180930264398518E+01  3.257924241220380E+02
 5.922500000000000E+04  7.628034340591039E+03  2.034325297209023E-03  3.820126581872375E-03  3.417357312943569E+02  6.549210406507795E+01  3.341068942591951E+02
 5.922600000000000E+04  7.628074057974872E+03  2.160137661300364E-03  3.663511279538675E-03  3.418133653236512E+02  7.898177507376622E+01  3.424165163277022E+02
 5.922700000000000E+04  7.628122268770750E+03  2.242763013866794E-03  3.437130360741559E-03  3.416217325195479E+02  9.280071689164613E+01  3.506663348203018E+02
 5.922800000000000E+04  7.628155571539163E+03  2.277238517298305E-03  3.162695199780109E-03  3.407244161931802E+02  1.073924797131177E+02  3.588491731724013E+02
 5.922900000000000E+04  7.628157501981160E+03  2.260406367238396E-03  2.871156993455162E-03  3.387758066602787E+02  1.230630449641511E+02  7.004547819345452E+00
 5.923000000000000E+04  7.628126931230247E+03  2.192596158308141E-03  2.594840745792707E-03  3.356043541546956E+02  1.399247833787753E+02  1.519150556710867E+01
 5.923100000000000E+04  7.628078651951136E+03  2.077622143123519E-03  2.359664169406087E-03  3.313201383979533E+02  1.578267763916712E+02  2.345079274925445E+01
 5.923200000000000E+04  7.628035835998186E+03  1.921094946341901E-03  2.178797391862166E-03  3.263800527025547E+02  1.763188499445246E+02  3.177568034735069E+01
 5.923300000000000E+04  7.628018278056208E+03  1.728190812388597E-03  2.049708183575799E-03  3.214974846444604E+02  1.947461070161901E+02  4.010775530068669E+01
 5.923400000000000E+04  7.628032507450392E+03  1.502400309022042E-03  1.956527515739791E-03  3.173888816060211E+02  2.124770523452105E+02  4.836219341016997E+01
 5.923500000000000E+04  7.628068724776871E+03  1.246050054050951E-03  1.876689443778095E-03  3.145365171522909E+02  2.290996089007199E+02  5.646891617927813E+01
 5.923600000000000E+04  7.628106083226287E+03  9.620769145867030E-04  1.788018095881522E-03  3.131332408035919E+02  2.444474829963479E+02  6.440142215853720E+01
 5.923700000000000E+04  7.628123500232947E+03  6.556470647225273E-04  1.673121679128067E-03  3.131772475034633E+02  2.585245937998073E+02  7.215756603599546E+01
 5.923800000000000E+04  7.628110481844988E+03  3.344383334814929E-04  1.520944733521780E-03  3.146020253684759E+02  2.715893660595470E+02  7.954533843824530E+01
 5.923900000000000E+04  7.628072513247352E+03  1.004477868633706E-05  1.326840061875378E-03  3.173898263114819E+02  3.254468290224599E+02  4.477734741829941E+01
 5.924000000000000E+04  7.628028345510646E+03  3.177112340797611E-04  1.092449671362073E-03  3.217063747907532E+02  1.093933704380064E+02  2.783914112075254E+02
 5.924100000000000E+04  7.628000570209917E+03  6.340611351518508E-04  8.262363308027658E-04  3.282272010875289E+02  1.169091942084026E+02  2.862317992766347E+02
 5.924200000000000E+04  7.628004204755252E+03  9.376476421871871E-04  5.461362519783527E-04  3.394003605570110E+02  1.192447313755114E+02  2.946000958556238E+02
 5.924300000000000E+04  7.628039011203560E+03  1.224418610519688E-03  2.953698999048899E-04  6.165520925419644E+00  1.058920213099282E+02  3.030646899564981E+02
 5.924400000000000E+04  7.628089427684009E+03  1.488941169656082E-03  2.317158034098226E-04  7.236386281611986E+01  5.316836250664245E+01  3.114671710225954E+02
 5.924500000000000E+04  7.628132215076826E+03  1.723959155961410E-03  3.911252529711261E-04  1.095677537138423E+02  2.956176834634010E+01  3.197471612797152E+02
 5.924600000000000E+04  7.628148054504545E+03  1.921676612901335E-03  5.562497474113187E-04  1.202566189480382E+02  3.257608393265306E+01  3.279213258716234E+02
 5.924700000000000E+04  7.628131200080556E+03  2.075921818667283E-03  6.747383443374178E-04  1.216956993070907E+02  4.488216736691291E+01  3.360534695930755E+02
 5.924800000000000E+04  7.628092303803143E+03  2.183736230643418E-03  7.570916938898554E-04  1.170379955629162E+02  6.325761035431841E+01  3.442129256695499E+02
 5.924900000000000E+04  7.628052869331634E+03  2.245326209141913E-03  8.462464669022394E-04  1.076606841844022E+02  8.628806313148230E+01  3.524368597173390E+02
 5.925000000000000E+04  7.628034126169686E+03  2.262414904214536E-03  9.944403449039354E-04  9.665241965752439E+01  1.108973522190188E+02  7.128607573242848E-01
 5.925100000000000E+04  7.628046052111731E+03  2.236142095236937E-03  1.223768898179997E-03  8.773990263775593E+01  1.334092231043729E+02  8.990599293512529E+00
 5.925200000000000E+04  7.628082201718423E+03  2.166012678165598E-03  1.514290495753219E-03  8.236876538843566E+01  1.524317353459192E+02  1.721648936650364E+01
 5.925300000000000E+04  7.628123048231865E+03  2.050660860439985E-03  1.826928780006101E-03  7.994420967941015E+01  1.685796359290792E+02  2.537062103633179E+01
 5.925400000000000E+04  7.628146102736549E+03  1.889857876955178E-03  2.123901418890305E-03  7.936958839784462E+01  1.829188326953957E+02  3.348368061466901E+01
 5.925500000000000E+04  7.628137552714539E+03  1.686305594404654E-03  2.376924538226939E-03  7.970029322467609E+01  1.963249931084685E+02  4.162448417494779E+01
 5.925600000000000E+04  7.628099430200482E+03  1.445959664455798E-03  2.569654726060115E-03  8.021763602526688E+01  2.094452970043918E+02  4.986439882323771E+01
 5.925700000000000E+04  7.628048680486479E+03  1.176658821910880E-03  2.697972949377008E-03  8.037692514303065E+01  2.227941372631732E+02  5.823363052959655E+01
 5.925800000000000E+04  7.628008687563331E+03  8.859752302878566E-04  2.768983403628421E-03  7.976895385453497E+01  2.368285893453559E+02  6.668430864789147E+01
 5.925900000000000E+04  7.627997608115237E+03  5.797354618676217E-04  2.798909230989031E-03  7.811546323390357E+01  2.519901412537083E+02  7.505329177752641E+01
 5.926000000000000E+04  7.628019404738376E+03  2.622102960430334E-04  2.810011234591208E-03  7.529416174637221E+01  2.689694783280451E+02  8.277232137234482E+01
 5.926100000000000E+04  7.628062029923446E+03  6.288682887098511E-05  2.826609365147062E-03  7.137965964361341E+01  9.880063066608120E+01  2.787328767810532E+02
 5.926200000000000E+04  7.628103607028511E+03  3.884167604178908E-04  2.870295830167938E-03  6.666760522337071E+01  1.223729548675275E+02  2.817500050406268E+02
 5.926300000000000E+04  7.628123501423202E+03  7.074329141894773E-04  2.954954376106368E-03  6.163327139570258E+01  1.417215126403349E+02  2.893133380257238E+02
 5.926400000000000E+04  7.628112694655640E+03  1.010796723994888E-03  3.083109984514302E-03  5.680403634874524E+01  1.606371115820165E+02  2.971045958625377E+02
 5.926500000000000E+04  7.628078294978205E+03  1.290658887410769E-03  3.245382640517948E-03  5.260246690801824E+01  1.787968528997006E+02  3.050240091206720E+02
 5.926600000000000E+04  7.628039870307117E+03  1.541654501517395E-03  3.423220101206526E-03  4.925141483223851E+01  1.959552654512729E+02  3.130941427207378E+02
 5.926700000000000E+04  7.628019394326193E+03  1.760852692071542E-03  3.593361565459666E-03  4.677247682257907E+01  2.120984228377298E+02  3.213073460717417E+02
 5.926800000000001E+04  7.628029867602669E+03  1.946259448490122E-03  3.732338752631868E-03  4.503603237067462E+01  2.274127868561391E+02  3.296068582197548E+02
 5.926900000000000E+04  7.628068417800669E+03  2.094948695969417E-03  3.820394855392829E-03  4.381012391381174E+01  2.422109813696150E+02  3.379121054424293E+02
 5.927000000000000E+04  7.628117468095767E+03  2.202268517296260E-03  3.845125519328637E-03  4.278519627142617E+01  2.568656514744687E+02  3.461600463161404E+02
 5.927100000000000E+04  7.628153504487755E+03  2.262839184745354E-03  3.805315402999046E-03  4.158273798203771E+01  2.717707357617699E+02  3.543352228964905E+02
 5.927200000000000E+04  7.628158987036763E+03  2.272725246659728E-03  3.714604793674249E-03  3.977907741785225E+01  2.873158645256069E+02  2.471574520969019E+00
 5.927300000000000E+04  7.628131286558245E+03  2.231301951400420E-03  3.602988314448722E-03  3.699313935399755E+01  3.038238250797264E+02  1.062726443995043E+01
 5.927400000000000E+04  7.628084024135606E+03  2.141550457277624E-03  3.512311261119265E-03  3.307334691029811E+01  3.214012844988104E+02  1.884711952677586E+01
 5.927500000000001E+04  7.628040118410680E+03  2.008583927641367E-03  3.482476561151032E-03  2.830743803876045E+01  3.397597178867758E+02  2.713193201001213E+01
 5.927600000000000E+04  7.628020138231706E+03  1.837401798455887E-03  3.532177246432370E-03  2.340761424817783E+01  3.582373478723602E+02  3.543137392216065E+01
 5.927700000000000E+04  7.628031961482796E+03  1.631405245599209E-03  3.647984869922473E-03  1.913706629774133E+01  1.615003344744739E+01  4.366653992166501E+01
 5.927800000000000E+04  7.628067009993973E+03  1.392651129087117E-03  3.791795335849800E-03  1.590035892611906E+01  3.316033303790714E+01  5.177043255864785E+01
 5.927900000000000E+04  7.628104904137891E+03  1.123526514804362E-03  3.919008248964973E-03  1.366202165723909E+01  4.932605724697459E+01  5.972076110826611E+01
 5.928000000000000E+04  7.628124079849501E+03  8.285129548477790E-04  3.993705720363000E-03  1.211263082542494E+01  6.493635604656552E+01  6.753775082497521E+01
 5.928100000000000E+04  7.628112887031764E+03  5.147392825890798E-04  3.995958562787256E-03  1.084063474132951E+01  8.042259343914175E+01  7.520146768005809E+01
 5.928200000000000E+04  7.628075583808093E+03  1.909883704295505E-04  3.923389411404458E-03  9.423833071246063E+00  9.702261681843841E+01  8.189612773535622E+01
 5.928300000000000E+04  7.628030252242028E+03  1.348584853051876E-04  3.789646172033702E-03  7.471437966063942E+00  2.871249930003098E+02  2.756238631291311E+02
 5.928400000000000E+04  7.627999721082673E+03  4.553029767496015E-04  3.620842559426281E-03  4.666014735083009E+00  3.055643544300352E+02  2.818674746654572E+02
 5.928500000000000E+04  7.628000060158224E+03  7.663572538844331E-04  3.449933342309269E-03  8.356112197036393E-01  3.230632782681280E+02  2.900764205093235E+02
 5.928600000000000E+04  7.628032418592985E+03  1.063856336870670E-03  3.308918478679351E-03  3.560472520814754E+02  3.413014918675846E+02  2.985040736667777E+02
 5.928700000000000E+04  7.628082273679704E+03  1.342517420175969E-03  3.220008637215011E-03  3.506528520334073E+02  1.814112202982730E-01  3.068962095447691E+02
 5.928800000000000E+04  7.628126570453443E+03  1.595163051090122E-03  3.189103090942858E-03  3.451974246393245E+02  1.924292929162383E+01  3.151679595223821E+02
 5.928900000000000E+04  7.628145205348211E+03  1.813750733620701E-03  3.205389317020647E-03  3.402040550608496E+02  3.795528546006623E+01  3.233269554035554E+02
 5.929000000000000E+04  7.628131088085688E+03  1.991474856076378E-03  3.247150923817089E-03  3.359889014389445E+02  5.593976064773783E+01  3.314356615507261E+02
 5.929100000000001E+04  7.628093640416141E+03  2.124519642198603E-03  3.289493135432307E-03  3.326215606981505E+02  7.305334959315000E+01  3.395673911773577E+02
 5.929200000000000E+04  7.628053871337933E+03  2.212292158698786E-03  3.309882998321282E-03  3.299928211800561E+02  8.936109744587741E+01  3.477662693623056E+02
 5.929300000000000E+04  7.628033493105189E+03  2.255982748890867E-03  3.290667591534148E-03  3.278945813000814E+02  1.050767885194232E+02  3.560266478069314E+02
 5.929400000000001E+04  7.628043658394395E+03  2.256450397843600E-03  3.219962003628340E-03  3.260617199405895E+02  1.205125899903150E+02  4.301570715736949E+00
 5.929500000000000E+04  7.628079155447117E+03  2.212949303379108E-03  3.092510753709957E-03  3.241739034591519E+02  1.360441855835356E+02  1.253578203517708E+01
 5.929600000000000E+04  7.628121080377094E+03  2.123638349444370E-03  2.911431102286293E-03  3.218350834721256E+02  1.520933479751979E+02  2.070359833774800E+01
 5.929700000000000E+04  7.628146615776820E+03  1.987508479181195E-03  2.690851554318654E-03  3.185610802592064E+02  1.691205467824736E+02  2.882868592215517E+01
 5.929800000000000E+04  7.628140830207173E+03  1.806338406577994E-03  2.458194180047323E-03  3.138402438374640E+02  1.875736201221632E+02  3.697473919403249E+01
 5.929900000000000E+04  7.628104414020624E+03  1.585309780955133E-03  2.252428021998547E-03  3.073887399031124E+02  2.076658681783900E+02  4.521215226657409E+01
 5.930000000000000E+04  7.628053438597577E+03  1.331864141905034E-03  2.111907441636670E-03  2.996419481000081E+02  2.289270048326667E+02  5.357573513850372E+01
 5.930100000000000E+04  7.628011316609822E+03  1.053563458980051E-03  2.050836985173725E-03  2.920016131279267E+02  2.499901342524711E+02  6.203063575260804E+01
 5.930200000000000E+04  7.627997103011596E+03  7.563963091283452E-04  2.043678567438301E-03  2.860977726676035E+02  2.693480159215163E+02  7.045415484928004E+01
 5.930300000000001E+04  7.628016087379179E+03  4.446677875282442E-04  2.039212930261148E-03  2.826992262282027E+02  2.865032165203330E+02  7.857508490708503E+01
 5.930400000000000E+04  7.628057312716492E+03  1.225214028089010E-04  1.990009746388746E-03  2.815446492945124E+02  3.036626408296434E+02  8.444799492374315E+01
 5.930500000000000E+04  7.628099260857649E+03  2.051711762794679E-04  1.870374107785693E-03  2.818273808376410E+02  1.316580185117623E+02  2.780478906712677E+02
 5.930600000000000E+04  7.628120776789227E+03  5.298097174001467E-04  1.678193254932428E-03  2.825631777626435E+02  1.460463179082381E+02  2.848020178168103E+02
 5.930700000000000E+04  7.628111741204442E+03  8.429720473718379E-04  1.429085492618638E-03  2.826548962850627E+02  1.601785063779169E+02  2.924564424690089E+02
 5.930800000000000E+04  7.628078136673095E+03  1.136351095894552E-03  1.150108842122395E-03  2.807022806512381E+02  1.761389651487625E+02  3.003269068775189E+02
 5.930900000000000E+04  7.628038953586597E+03  1.403930215254597E-03  8.769693426246665E-04  2.745510944510098E+02  1.961156005092522E+02  3.083796528566335E+02
 5.931000000000000E+04  7.628016454769226E+03  1.642177979218377E-03  6.563487288221537E-04  2.609607545254817E+02  2.233674592155003E+02  3.165962114757186E+02
 5.931100000000000E+04  7.628024677086469E+03  1.848748615379344E-03  5.426508998106389E-04  2.387037568844835E+02  2.591829819947222E+02  3.249157186221778E+02
 5.931200000000000E+04  7.628062012464949E+03  2.020588799834080E-03  5.476497096511908E-04  2.160804852358632E+02  2.953478550752554E+02  3.332522107100666E+02
 5.931300000000000E+04  7.628111721317987E+03  2.152911793107520E-03  6.047122697427087E-04  2.011603904974923E+02  3.238633666825376E+02  3.415350294070494E+02
 5.931400000000000E+04  7.628150233053926E+03  2.239932462950913E-03  6.454748981332407E-04  1.924009513075129E+02  3.462952354109473E+02  3.497409892095121E+02
 5.931500000000000E+04  7.628159062464309E+03  2.276951251088493E-03  6.380020302170762E-04  1.861135570356473E+02  6.303033270186505E+00  3.578990659052668E+02
 5.931600000000000E+04  7.628134202409770E+03  2.262373077753552E-03  5.766487322717862E-04  1.790642333428255E+02  2.706281875204223E+01  6.067072705992663E+00
 5.931700000000001E+04  7.628088162114490E+03  2.198295582064714E-03  4.773488082989079E-04  1.671111416032307E+02  5.266702252782701E+01  1.429433125526621E+01
 5.931800000000000E+04  7.628043557312190E+03  2.089269554614066E-03  3.904724227194537E-04  1.436302573858646E+02  8.973097787222768E+01  2.258951017794625E+01
 5.931900000000000E+04  7.628021570600622E+03  1.940071787046752E-03  4.121295479673116E-04  1.099257688414134E+02  1.369922152018925E+02  3.091094663919982E+01
 5.932000000000000E+04  7.628031275736421E+03  1.754019187071428E-03  5.731657893598846E-04  8.604238164676292E+01  1.744780238883984E+02  3.918675154005341E+01
 5.932100000000001E+04  7.628065235500979E+03  1.532953713042131E-03  8.056362122372125E-04  7.488004545608716E+01  1.993503034468969E+02  4.735517643575773E+01
 5.932200000000001E+04  7.628103589092149E+03  1.278793614714618E-03  1.057555737377424E-03  7.017630242057817E+01  2.178861258337465E+02  5.540164840750383E+01
 5.932300000000000E+04  7.628124419407810E+03  9.954072390507089E-04  1.300337064320407E-03  6.850503226556928E+01  2.334671970240516E+02  6.337053761813005E+01
 5.932400000000001E+04  7.628115059641481E+03  6.894209801076342E-04  1.514822312876656E-03  6.828296453596192E+01  2.475963840994214E+02  7.134213371259463E+01
 5.932500000000000E+04  7.628078618870481E+03  3.694015536593123E-04  1.686887776566312E-03  6.862005790989842E+01  2.611246952371001E+02  7.935533665122664E+01
 5.932600000000000E+04  7.628032484733403E+03  4.399401749646825E-05  1.807698915179492E-03  6.883240235456640E+01  2.765568210928117E+02  8.558927395692236E+01
 5.932700000000000E+04  7.627999609567762E+03  2.799514850798710E-04  1.876727896211139E-03  6.823050983976165E+01  1.077577584200334E+02  2.768684279797286E+02
 5.932800000000001E+04  7.627996965148115E+03  5.973712910775549E-04  1.907118590426834E-03  6.607045720625027E+01  1.233678657320237E+02  2.852964418771046E+02
 5.932900000000000E+04  7.628026941746352E+03  9.041916926658072E-04  1.931397148892357E-03  6.175369347302426E+01  1.410046215039068E+02  2.938545200646442E+02
 5.933000000000000E+04  7.628076012056591E+03  1.195295025403552E-03  1.999485930722165E-03  5.539360842324441E+01  1.607682638674164E+02  3.023291640974581E+02
 5.933100000000000E+04  7.628121377678643E+03  1.463645695848494E-03  2.156779422061223E-03  4.829995452028360E+01  1.814177035341795E+02  3.106517842436673E+02
 5.933200000000000E+04  7.628142347733547E+03  1.701063256042326E-03  2.410566351657731E-03  4.228838725733906E+01  2.011228917793882E+02  3.188367640097456E+02
 5.933300000000000E+04  7.628130676910881E+03  1.900221807298678E-03  2.722167400697264E-03  3.830228665575389E+01  2.188720859309970E+02  3.269523843046691E+02
 5.933400000000000E+04  7.628094645893287E+03  2.056527085963586E-03  3.033245576210176E-03  3.614060518875408E+01  2.347854627808128E+02  3.350794082790331E+02
 5.933500000000000E+04  7.628054714338162E+03  2.168617171242761E-03  3.294708518976846E-03  3.509307030463395E+01  2.495205187623074E+02  3.432705362299492E+02
 5.933600000000000E+04  7.628032916531199E+03  2.237153169839421E-03  3.479911421109676E-03  3.443806990521901E+01  2.637970170869391E+02  3.515276111085103E+02
 5.933700000000000E+04  7.628041438957796E+03  2.262736795406207E-03  3.584943387222080E-03  3.360778650037500E+01  2.782260602710944E+02  3.598074089108561E+02
 5.933800000000000E+04  7.628076249982704E+03  2.244444779401974E-03  3.623099199823725E-03  3.220160417582234E+01  2.932651044980795E+02  8.053175182942876E+00
 5.933900000000000E+04  7.628119126719501E+03  2.180079235959908E-03  3.618235297790237E-03  2.997224821060166E+01  3.091930814085558E+02  1.623330807792589E+01
 5.934000000000000E+04  7.628147049277990E+03  2.067975752613786E-03  3.598882572596690E-03  2.682902762259402E+01  3.260847016676144E+02  2.436377496871433E+01
 5.934100000000000E+04  7.628144095533806E+03  1.909075703632221E-03  3.593038809510164E-03  2.285821433636723E+01  3.437965142777888E+02  3.250167635745773E+01
 5.934200000000001E+04  7.628109691057417E+03  1.707811153316443E-03  3.623054334292172E-03  1.832961183433876E+01  1.991824071886286E+00  4.071379932920247E+01
 5.934300000000000E+04  7.628058997772837E+03  1.471196897279981E-03  3.700904712419701E-03  1.364614255950012E+01  2.023296988502046E+01  4.903480855604328E+01
 5.934400000000000E+04  7.628015309508727E+03  1.206735851172212E-03  3.825450844813060E-03  9.227529912404577E+00  3.813233815801737E+01  5.743259356747440E+01
 5.934500000000000E+04  7.627998393838225E+03  9.205485396018377E-04  3.983236821933865E-03  5.383124297844065E+00  5.549660262354611E+01  6.579120897844368E+01
 5.934600000000000E+04  7.628014710885495E+03  6.169855558472594E-04  4.152582555333798E-03  2.245258101492537E+00  7.242189979393692E+01  7.388230950664946E+01
 5.934700000000000E+04  7.628054390715618E+03  2.999203107293337E-04  4.309067065090562E-03  3.597805432088334E+02  8.967359751992711E+01  8.097402585648878E+01
 5.934800000000000E+04  7.628096399916831E+03  2.885349362028129E-05  4.430474710258605E-03  3.578431947741777E+02  2.575444414592921E+02  2.969194416562772E+02
 5.934900000000000E+04  7.628119255855523E+03  3.532414324463475E-04  4.500279926511085E-03  3.562296351691282E+02  2.965113104888889E+02  2.814452121369516E+02
 5.935000000000000E+04  7.628111862827289E+03  6.725817693076137E-04  4.509533961848998E-03  3.547151993357954E+02  3.129429142423135E+02  2.884071817654674E+02
 5.935100000000000E+04  7.628079083430245E+03  9.759512933000758E-04  4.457650977322620E-03  3.530718109691119E+02  3.288214764837879E+02  2.960510767716329E+02
 5.935200000000000E+04  7.628039230054908E+03  1.256774537952929E-03  4.352716822617049E-03  3.510758048764950E+02  3.447551415150366E+02  3.039923347773837E+02
 5.935300000000000E+04  7.628014698554588E+03  1.510990713424340E-03  4.211730646269700E-03  3.485225084442148E+02  1.031297919407350E+00  3.121482356323314E+02
 5.935400000000000E+04  7.628020439497202E+03  1.735945702470865E-03  4.060318125451038E-03  3.452718274953879E+02  1.787184257639514E+01  3.204370481321120E+02
 5.935500000000000E+04  7.628056095364826E+03  1.928513511575321E-03  3.929971008945679E-03  3.413448929100864E+02  3.535386938605158E+01  3.287606549302007E+02
 5.935600000000000E+04  7.628105872613010E+03  2.083867038653872E-03  3.850086649656209E-03  3.370408885612550E+02  5.325974626997095E+01  3.370375932207866E+02
 5.935700000000000E+04  7.628146343381510E+03  2.195941117382195E-03  3.834970083101922E-03  3.329477726046753E+02  7.103421354414573E+01  3.452351941044918E+02
 5.935800000000000E+04  7.628158257623590E+03  2.259380607052624E-03  3.872946319173447E-03  3.297252162149977E+02  8.799479535042570E+01  3.533762249289732E+02
 5.935900000000000E+04  7.628136320723315E+03  2.271664820707776E-03  3.927601905886707E-03  3.277706204002822E+02  1.036875713196753E+02  1.517128162308081E+00
 5.936000000000001E+04  7.628091868479803E+03  2.233970170332448E-03  3.952286322941154E-03  3.270451051154521E+02  1.180985083967795E+02  9.710745546972076E+00
 5.936100000000001E+04  7.628047037141648E+03  2.150193455941303E-03  3.908533325477917E-03  3.271470775070496E+02  1.316136697354269E+02  1.797257943531371E+01
 5.936200000000000E+04  7.628023446969771E+03  2.024797961741072E-03  3.778918186324849E-03  3.274949273729966E+02  1.448491079786320E+02  2.626821788206037E+01
 5.936300000000000E+04  7.628031248997127E+03  1.860959989986644E-03  3.570678086535807E-03  3.274877299871628E+02  1.584730673492300E+02  3.453041243971539E+01
 5.936400000000001E+04  7.628064148430125E+03  1.660282282095800E-03  3.311036022243722E-03  3.266147746112409E+02  1.730577087760458E+02  4.269778456875425E+01
 5.936500000000000E+04  7.628102884532321E+03  1.424180734766641E-03  3.037449588574269E-03  3.245432340897457E+02  1.889535743142456E+02  5.075264869680755E+01
 5.936600000000001E+04  7.628125304168805E+03  1.155829776889286E-03  2.786413217458949E-03  3.212125704672777E+02  2.061806531083155E+02  5.873551702894739E+01
 5.936700000000001E+04  7.628117808643754E+03  8.612185668749825E-04  2.583626690214124E-03  3.169105711273928E+02  2.243703540578936E+02  6.672710172797576E+01
 5.936800000000001E+04  7.628082361755603E+03  5.485798897248203E-04  2.437956440031965E-03  3.122388612893016E+02  2.428526507338870E+02  7.479570100918362E+01
 5.936900000000000E+04  7.628035577523878E+03  2.265835171848230E-04  2.341386394412592E-03  3.079123595010226E+02  2.610509747814917E+02  8.280290395243979E+01
 5.937000000000000E+04  7.628000394225059E+03  9.756375543899577E-05  2.274741252296907E-03  3.045039968488750E+02  9.592210669260206E+01  2.732190166043418E+02
 5.937100000000000E+04  7.627994558880020E+03  4.185494409523263E-04  2.215490628415755E-03  3.023152457922587E+02  1.123721545529447E+02  2.808365537836981E+02
 5.937200000000000E+04  7.628021691327805E+03  7.322848074827095E-04  2.143569920536652E-03  3.014080535045748E+02  1.266691852572403E+02  2.893256351727312E+02
 5.937300000000000E+04  7.628069374670505E+03  1.033825842612378E-03  2.044049832587028E-03  3.017023270505690E+02  1.398022459465654E+02  2.977774190313378E+02
 5.937400000000000E+04  7.628115280225823E+03  1.316330715049126E-03  1.907782955582637E-03  3.030594287449707E+02  1.520179707989567E+02  3.060839491790497E+02
 5.937500000000000E+04  7.628138284948278E+03  1.571543502848930E-03  1.731235287641463E-03  3.053339983746616E+02  1.634563027026682E+02  3.142505935705660E+02
 5.937600000000000E+04  7.628129026731074E+03  1.791658557455146E-03  1.516118346415079E-03  3.084085771322166E+02  1.741676731305328E+02  3.223442652947158E+02
 5.937700000000000E+04  7.628094546188667E+03  1.971293837342162E-03  1.268987698059141E-03  3.122346525055495E+02  1.841168332532442E+02  3.304486014365755E+02
 5.937800000000001E+04  7.628054592672196E+03  2.108254406478992E-03  1.000827758350740E-03  3.169219772449022E+02  1.931359041893591E+02  3.386216513343276E+02
 5.937900000000000E+04  7.628031402864467E+03  2.202577616104609E-03  7.267419371983482E-04  3.230040264688060E+02  2.006841829330064E+02  3.468706447283473E+02
 5.938000000000000E+04  7.628038155084608E+03  2.254518780184718E-03  4.664855445722011E-04  3.324366494301138E+02  2.048464951846155E+02  3.551549775943150E+02
 5.938100000000000E+04  7.628072063295668E+03  2.262924336035911E-03  2.512663238540546E-04  3.533674743570644E+02  1.975339515638963E+02  3.416005419689249E+00
 5.938200000000000E+04  7.628115721460930E+03  2.225218294376333E-03  1.649109712570047E-04  4.710876987691557E+01  1.574717669277682E+02  1.161630703241776E+01
 5.938300000000001E+04  7.628146044088283E+03  2.139058620871843E-03  2.416827958476531E-04  8.384545297421141E+01  1.344662053144945E+02  1.976469573304005E+01
 5.938400000000001E+04  7.628146183329201E+03  2.004493997785063E-03  3.453553974282407E-04  8.817922468891535E+01  1.438637363998795E+02  2.791293015324190E+01
 5.938500000000000E+04  7.628114233035396E+03  1.825108145283913E-03  4.652815716188830E-04  8.033578980089260E+01  1.653729098837429E+02  3.612666126475583E+01
 5.938600000000000E+04  7.628064287262933E+03  1.607371072678184E-03  6.464115306744915E-04  6.982472794665307E+01  1.894449773436258E+02  4.444499545157115E+01
 5.938700000000000E+04  7.628019352503018E+03  1.358625667085688E-03  9.142951119699780E-04  6.241829263984626E+01  2.103285816393046E+02  5.284704576999851E+01
 5.938800000000001E+04  7.627999806907252E+03  1.085064755295507E-03  1.253642102876074E-03  5.916416675605011E+01  2.270688980268035E+02  6.124003588498325E+01
 5.938900000000000E+04  7.628013312850802E+03  7.910637780854077E-04  1.625352505029302E-03  5.887207688605482E+01  2.410170675225497E+02  6.946321285035441E+01
 5.939000000000000E+04  7.628051186736634E+03  4.802387918655226E-04  1.985461031900405E-03  6.020338940671475E+01  2.538117797108036E+02  7.721661059464888E+01
 5.939100000000000E+04  7.628093005366375E+03  1.574412075413184E-04  2.297692698396990E-03  6.213171313350931E+01  2.684868814018283E+02  8.249279246938387E+01
 5.939200000000000E+04  7.628117037652780E+03  1.718088088856256E-04  2.540753197864631E-03  6.390640836873538E+01  9.254559170827505E+01  2.785391163600642E+02
 5.939300000000000E+04  7.628111245531508E+03  4.966838531794752E-04  2.710407546041793E-03  6.498080801677716E+01  1.079599091920143E+02  2.839301351485917E+02
 5.939400000000000E+04  7.628079345267890E+03  8.096818220799060E-04  2.817489512097409E-03  6.497785898607654E+01  1.223797641430971E+02  2.913928569030847E+02
 5.939500000000000E+04  7.628038892266341E+03  1.103542702522553E-03  2.883714239787505E-03  6.369261825367518E+01  1.376438086774081E+02  2.992935136896911E+02
