# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.905700000000000E+04  7.628145309109661E+03  2.048747056111507E-03  2.540232860464392E-03  7.211483731886045E+01  2.086953324199062E+02  2.542879063427934E+01
 5.905800000000000E+04  7.628104363027653E+03  1.880925846831120E-03  2.682705836180802E-03  6.698700650794281E+01  2.274601749209654E+02  3.366613845297591E+01
 5.905900000000000E+04  7.628053966685815E+03  1.674541827992236E-03  2.889370966934706E-03  6.221137670585679E+01  2.457779338150929E+02  4.199826263131403E+01
 5.906000000000000E+04  7.628017502274788E+03  1.436375566354757E-03  3.140302613785682E-03  5.846827542569407E+01  2.630115062494450E+02  5.038195625489924E+01
 5.906100000000000E+04  7.628011135767495E+03  1.171716561865003E-03  3.400446566550318E-03  5.591300670020510E+01  2.791087395557142E+02  5.871414723720775E+01
 5.906200000000000E+04  7.628035862901380E+03  8.842277763626308E-04  3.633911887769002E-03  5.432167475925364E+01  2.944365691148618E+02  6.685189576161903E+01
 5.906300000000000E+04  7.628077259238214E+03  5.773761688903092E-04  3.813923465473063E-03  5.331004670616703E+01  3.095910847700126E+02  7.458341161768857E+01
 5.906400000000000E+04  7.628112989745193E+03  2.562898810115590E-04  3.927188479112181E-03  5.247311046797485E+01  3.258911182786381E+02  8.099487070785078E+01
 5.906500000000000E+04  7.628124207912698E+03  7.344340119581467E-05  3.974145473991273E-03  5.144893028625683E+01  1.479144366489998E+02  2.818703639123935E+02
 5.906600000000000E+04  7.628105107071578E+03  3.989449276113340E-04  3.966679221155225E-03  4.994743680300543E+01  1.715932397627402E+02  2.815676452113497E+02
 5.906700000000000E+04  7.628065851472960E+03  7.149029377759184E-04  3.924467778478301E-03  4.777149013197834E+01  1.884119288119375E+02  2.887993566350630E+02
 5.906800000000000E+04  7.628027426616733E+03  1.013957324018514E-03  3.870763779050958E-03  4.483980740914723E+01  2.053044531703089E+02  2.967128035694108E+02
 5.906900000000000E+04  7.628010974085891E+03  1.291753348193916E-03  3.828138618675559E-03  4.120752139764347E+01  2.225956444108706E+02  3.049280796160020E+02
 5.907000000000000E+04  7.628026947817225E+03  1.545029652916583E-03  3.814556222057148E-03  3.706978842538138E+01  2.402505171188410E+02  3.132851339853638E+02
 5.907100000000000E+04  7.628069576868292E+03  1.769754295109871E-03  3.840166901098320E-03  3.273161600486407E+01  2.580909878555753E+02  3.216571702215250E+02
 5.907200000000000E+04  7.628119511835690E+03  1.960108770930001E-03  3.905326314163381E-03  2.854027312680705E+01  2.758543748093343E+02  3.299596772322251E+02
 5.907300000000000E+04  7.628153429866722E+03  2.109207135148742E-03  4.000332436055215E-03  2.480125016667055E+01  2.932577207399535E+02  3.381701117961844E+02
 5.907400000000000E+04  7.628155768560258E+03  2.211152393530401E-03  4.106995840594745E-03  2.171158475640835E+01  3.100694668857384E+02  3.463229057506213E+02
 5.907500000000000E+04  7.628126587255782E+03  2.263046703148759E-03  4.201724154824025E-03  1.933083113405095E+01  3.261682705235028E+02  3.544797240341164E+02
 5.907600000000000E+04  7.628081490517297E+03  2.265602527700662E-03  4.259629282878846E-03  1.758480346858572E+01  3.415785314889206E+02  2.690253687561465E+00
 5.907700000000000E+04  7.628043590394558E+03  2.221946831484056E-03  4.259302763694668E-03  1.628249328782351E+01  3.564833103695853E+02  1.096241147837835E+01
 5.907800000000000E+04  7.628031641844585E+03  2.135435021309932E-03  4.188065464373458E-03  1.513183221312624E+01  1.121356557393054E+01  1.925734986759333E+01
 5.907900000000000E+04  7.628050504765874E+03  2.007994399730970E-03  4.047220924619243E-03  1.375647825978747E+01  2.620754449620958E+01  2.751324681846067E+01
 5.908000000000000E+04  7.628088792513912E+03  1.840137534807842E-03  3.855832161167264E-03  1.173741141002239E+01  4.192928560170733E+01  3.568515619897438E+01
 5.908100000000000E+04  7.628124904530649E+03  1.632562847152476E-03  3.650256282029659E-03  8.723196260393802E+00  5.872608817485313E+01  4.377723329965883E+01
 5.908200000000000E+04  7.628138243802735E+03  1.388104295561087E-03  3.475781721620033E-03  4.633851836210924E+00  7.661832989495616E+01  5.184903767677330E+01
 5.908300000000000E+04  7.628119846245879E+03  1.112617046842099E-03  3.369353307527026E-03  3.598547117130973E+02  9.512761439338371E+01  5.999355188348817E+01
 5.908400000000000E+04  7.628077035250549E+03  8.141895435969258E-04  3.341047877875822E-03  3.551562758285099E+02  1.133953010978615E+02  6.829884705149702E+01
 5.908500000000000E+04  7.628029805447681E+03  5.012109408578264E-04  3.369057772688786E-03  3.512678099316392E+02  1.306398378096513E+02  7.681719436441487E+01
 5.908600000000000E+04  7.628000820538317E+03  1.805838215461447E-04  3.412907797956864E-03  3.484987008016147E+02  1.464383922191017E+02  8.566209557047664E+01
 5.908700000000000E+04  7.628004077744030E+03  1.427235552283977E-04  3.432308953137841E-03  3.467237053071717E+02  3.422437202210925E+02  2.735061471832153E+02
 5.908800000000000E+04  7.628037914939593E+03  4.644542084720573E-04  3.399054316325876E-03  3.455787717410900E+02  3.563645320879876E+02  2.824048053182053E+02
 5.908900000000000E+04  7.628085844021100E+03  7.793281912098703E-04  3.300520962550996E-03  3.446255444016014E+02  1.071851659585964E+01  2.908788031575731E+02
 5.909000000000000E+04  7.628124799095127E+03  1.080043098857222E-03  3.138740284533552E-03  3.434212436038962E+02  2.554361832002716E+01  2.991329595894107E+02
 5.909100000000000E+04  7.628136689953606E+03  1.357999590363752E-03  2.928074444825106E-03  3.415355101791201E+02  4.119877517801681E+01  3.072386010686233E+02
 5.909200000000000E+04  7.628117448398943E+03  1.605212384779740E-03  2.692405211658466E-03  3.385709843909634E+02  5.798531345393724E+01  3.152916296645088E+02
 5.909300000000000E+04  7.628079014656786E+03  1.816139812621439E-03  2.461276905145434E-03  3.342389726603867E+02  7.610112223943815E+01  3.233827424662031E+02
 5.909400000000000E+04  7.628043170224070E+03  1.988214335482777E-03  2.263913441595821E-03  3.285152453037199E+02  9.552053275970479E+01  3.315618046605608E+02
